berthe-morisot,/en/berthe-morisot/the-old-track-to-auvers-1863,The Old Track to Auvers,1863,Impressionism,landscape,landscape,https://uploads5.wikiart.org/images/berthe-morisot/the-old-track-to-auvers-1863.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/the-cradle-1872,The Cradle,1872,Impressionism,genre painting,genre painting,https://uploads1.wikiart.org/00452/images/berthe-morisot/1872le-berceau-the-cradle-1872-2.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/after-luncheon,After Luncheon,1881,Impressionism,portrait,portrait,https://uploads0.wikiart.org/images/berthe-morisot/after-luncheon.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/child-in-the-rose-garden,Child in the Rose Garden,1881,Impressionism,genre painting,genre painting,https://uploads1.wikiart.org/images/berthe-morisot/child-in-the-rose-garden.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/woman-and-child-in-a-garden-1884,Woman and Child in a Garden,1884,Impressionism,genre painting,genre painting,https://uploads0.wikiart.org/images/berthe-morisot/woman-and-child-in-a-garden-1884.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/julie-daydreaming,Julie Daydreaming,1894,Impressionism,portrait,portrait,https://uploads3.wikiart.org/images/berthe-morisot/julie-daydreaming.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/young-woman-leaning-on-her-elbows,Young Woman Leaning on Her Elbows,1894,Impressionism,portrait,portrait,https://uploads1.wikiart.org/images/berthe-morisot/young-woman-leaning-on-her-elbows.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/young-girl-resting,Young Girl Resting,1894,Impressionism,portrait,portrait,https://uploads4.wikiart.org/images/berthe-morisot/young-girl-resting.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/woman-and-child,Woman and Child,1894,Impressionism,portrait,portrait,https://uploads1.wikiart.org/images/berthe-morisot/woman-and-child.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/the-hairdresser,The Hairdresser,1894,Impressionism,genre painting,genre painting,https://uploads1.wikiart.org/images/berthe-morisot/the-hairdresser.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/the-black-finger-bandage,The Black Finger Bandage,1894,Impressionism,portrait,portrait,https://uploads1.wikiart.org/images/berthe-morisot/the-black-finger-bandage.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/the-banks-of-the-seine,The Banks of the Seine,1894,Impressionism,genre painting,genre painting,https://uploads8.wikiart.org/images/berthe-morisot/the-banks-of-the-seine.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/roses,Roses,1894,Impressionism,flower painting,flower painting,https://uploads0.wikiart.org/images/berthe-morisot/roses.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/on-the-cliff-at-portrieux,On the Cliff at Portrieux,1894,Impressionism,genre painting,genre painting,https://uploads2.wikiart.org/images/berthe-morisot/on-the-cliff-at-portrieux.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/on-the-beach-at-portrieux,On the Beach at Portrieux,1894,Impressionism,genre painting,genre painting,https://uploads2.wikiart.org/images/berthe-morisot/on-the-beach-at-portrieux.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/jeannie-gobillard,Jeannie Gobillard,1894,Impressionism,portrait,portrait,https://uploads3.wikiart.org/images/berthe-morisot/jeannie-gobillard.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/choir-boy,Choir Boy,1894,Impressionism,portrait,portrait,https://uploads4.wikiart.org/images/berthe-morisot/choir-boy.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/young-girl-with-an-umbrella,Young Girl with an Umbrella,1893,Impressionism,genre painting,genre painting,https://uploads4.wikiart.org/images/berthe-morisot/young-girl-with-an-umbrella.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/young-girl-with-a-fan-1893,Young Girl with a Fan,1893,Impressionism,genre painting,genre painting,https://uploads3.wikiart.org/images/berthe-morisot/young-girl-with-a-fan-1893.jpg!Large.jpg
berthe-morisot,/en/berthe-morisot/young-girl-lying,Young girl lying,1893,Impressionism,genre painting,genre painting,https://uploads1.wikiart.org/images/berthe-morisot/young-girl-lying.jpg
