dan-witz,/en/dan-witz/raja-foods-2006,Raja Foods,2006,Hyper-Realism,cityscape,cityscape,https://uploads4.wikiart.org/00140/images/dan-witz/night9.jpg!Large.jpg
dan-witz,/en/dan-witz/shrine-2006,Shrine,2006,Hyper-Realism,interior,interior,https://uploads1.wikiart.org/00140/images/dan-witz/bar.jpg!Large.jpg
dan-witz,/en/dan-witz/pennsylvania-traveler-s-hotel-2006,Pennsylvania traveler's hotel,2006,Hyper-Realism,interior,interior,https://uploads3.wikiart.org/00140/images/dan-witz/lamp6.jpg!Large.jpg
dan-witz,/en/dan-witz/edc-2017,EDC,2017,Hyper-Realism,genre painting,genre painting,https://uploads6.wikiart.org/00139/images/dan-witz/edc-2017-flat-copy.jpg!Large.jpg
dan-witz,/en/dan-witz/i-feel-2016,I Feel...,2016,Hyper-Realism,genre painting,genre painting,https://uploads8.wikiart.org/00139/images/dan-witz/i-feel-2016.jpg!Large.jpg
dan-witz,/en/dan-witz/orgy-big-2016,Orgy (Big),2016,Hyper-Realism,nude painting (nu),nude painting (nu),https://uploads2.wikiart.org/00139/images/dan-witz/orgy-big-2016-52x78-22-flat-copy.jpg!Large.jpg
dan-witz,/en/dan-witz/scrum-4-microphone-2016,Scrum 4 (Microphone),2016,Hyper-Realism,figurative,figurative,https://uploads8.wikiart.org/00139/images/dan-witz/scrum4-microphone-2016-32x22-flat-copy.jpg!Large.jpg
dan-witz,/en/dan-witz/womp-2016,Womp,2016,Hyper-Realism,genre painting,genre painting,https://uploads7.wikiart.org/00140/images/dan-witz/womp-2016.jpg!Large.jpg
dan-witz,/en/dan-witz/anna-sorrowing-2016,Anna (Sorrowing),2016,Hyper-Realism,portrait,portrait,https://uploads8.wikiart.org/00140/images/dan-witz/anna-sorrowing-2016.jpg!Large.jpg
dan-witz,/en/dan-witz/sandi-sorrowing-2016,Sandi (Sorrowing),2016,Hyper-Realism,portrait,portrait,https://uploads0.wikiart.org/00140/images/dan-witz/sandi-sorrowing-2016.jpg!Large.jpg
dan-witz,/en/dan-witz/a-small-orgy-2015,A Small Orgy,2015,Hyper-Realism,nude painting (nu),nude painting (nu),https://uploads7.wikiart.org/00139/images/dan-witz/a-small-orgy-2015-2.jpg!Large.jpg
dan-witz,/en/dan-witz/byronesque-3-2015,Byronesque 3,2015,Hyper-Realism,genre painting,genre painting,https://uploads7.wikiart.org/00139/images/dan-witz/byronesque-3-2015-2.jpg!Large.jpg
dan-witz,/en/dan-witz/scrum-study-the-flash-2015,Scrum Study (The Flash),2015,Hyper-Realism,figurative,figurative,https://uploads6.wikiart.org/00139/images/dan-witz/scrum-study-the-flash-2015-flat-copy.jpg!Large.jpg
dan-witz,/en/dan-witz/scrum-1-king-of-hearts-2015,Scrum 1 (King of Hearts),2015,Hyper-Realism,genre painting,genre painting,https://uploads6.wikiart.org/00139/images/dan-witz/scrum-1-king-of-hearts-2015.jpg!Large.jpg
dan-witz,/en/dan-witz/sick-of-it-all-2015,Sick Of It All,2015,Hyper-Realism,genre painting,genre painting,https://uploads7.wikiart.org/00139/images/dan-witz/sick-of-it-all-2015.jpg!Large.jpg
dan-witz,/en/dan-witz/scrum-3-system-of-a-down-2015,Scrum 3 (System of a Down),2015,Hyper-Realism,genre painting,genre painting,https://uploads1.wikiart.org/00139/images/dan-witz/scrum3-system-of-a-down.jpg
dan-witz,/en/dan-witz/scrum-2-all-out-war-2015,Scrum 2 (All Out War),2015,Hyper-Realism,genre painting,genre painting,https://uploads4.wikiart.org/00139/images/dan-witz/scrum-2-all-out-war-2015-flat-copy.jpg!Large.jpg
dan-witz,/en/dan-witz/jillian-dolorosa-sorrowing-2015,Jillian Dolorosa (Sorrowing),2015,Hyper-Realism,portrait,portrait,https://uploads2.wikiart.org/00140/images/dan-witz/jillian-sorrowing-2015.jpg!Large.jpg
dan-witz,/en/dan-witz/brite-nite-2-2014,Brite Nite 2,2014,Hyper-Realism,genre painting,genre painting,https://uploads4.wikiart.org/00139/images/dan-witz/brite-nite-ll-flat-copy-2.jpg!Large.jpg
dan-witz,/en/dan-witz/agnostic-front-circle-pit-2014,Agnostic Front Circle Pit,2014,Hyper-Realism,genre painting,genre painting,https://uploads4.wikiart.org/00139/images/dan-witz/agnostic-front-circle-pit-48x82-oil-on-canvas-2014-2.jpg!Large.jpg
