diego-rivera,/en/diego-rivera/creation-1923,Creation,1923,Muralism,religious painting,religious painting,https://uploads6.wikiart.org/images/diego-rivera/creation-1923.jpg!Large.jpg
diego-rivera,/en/diego-rivera/the-arsenal-1928,The Arsenal,1928,Muralism,genre painting,genre painting,https://uploads0.wikiart.org/images/diego-rivera/the-arsenal-1928.jpg!Large.jpg
diego-rivera,/en/diego-rivera/frozen-assets-1931,Frozen Assets,1931,Muralism,genre painting,genre painting,https://uploads5.wikiart.org/images/diego-rivera/frozen-assets-1931(1).jpg!Large.jpg
diego-rivera,/en/diego-rivera/detroit-industry-north-wall,"Detroit Industry, North Wall",1933,Muralism,genre painting,genre painting,https://uploads2.wikiart.org/images/diego-rivera/detroit-industry-north-wall.jpg!Large.jpg
diego-rivera,/en/diego-rivera/man-controller-of-the-universe-1934,"Man at the Crossroads/Man, Controller of the Univers",1934,Muralism,allegorical painting,allegorical painting,https://uploads1.wikiart.org/images/diego-rivera/man-controller-of-the-universe-1934.jpg!Large.jpg
diego-rivera,/en/diego-rivera/flower-carrier-1935,Flower Carrier,1935,Art Deco,genre painting,genre painting,https://uploads3.wikiart.org/images/diego-rivera/flower-carrier-1935.jpg!Large.jpg
diego-rivera,/en/diego-rivera/pan-american-unity-1940,Pan American Unity,1940,Muralism,allegorical painting,allegorical painting,https://uploads7.wikiart.org/images/diego-rivera/pan-american-unity-1940.jpg!Large.jpg
diego-rivera,/en/diego-rivera/the-hammock-1956,The Hammock,1956,Art Deco,portrait,portrait,https://uploads0.wikiart.org/images/diego-rivera/the-hammock-1956.jpg!Large.jpg
diego-rivera,/en/diego-rivera/may-day-procession-in-moscow-1956,May Day Procession in Moscow,1956,Social Realism,genre painting,genre painting,https://uploads8.wikiart.org/images/diego-rivera/may-day-procession-in-moscow-1956.jpg!Large.jpg
diego-rivera,/en/diego-rivera/evening-twilight-at-acapulco-1956,Evening Twilight at Acapulco,1956,Muralism,landscape,landscape,https://uploads8.wikiart.org/images/diego-rivera/evening-twilight-at-acapulco-1956.jpg!Large.jpg
diego-rivera,/en/diego-rivera/portrait-of-silvia-pinal-1956,Portrait of Silvia Pinal,1956,Figurative Expressionism,portrait,portrait,https://uploads6.wikiart.org/00179/images/diego-rivera/silvia-pinal-diego-rivera-mexican-art.jpg!Large.jpg
diego-rivera,/en/diego-rivera/the-painter-s-studio-1954,The Painter's Studio,1954,Surrealism,genre painting,genre painting,https://uploads0.wikiart.org/images/diego-rivera/the-painter-s-studio-1954.jpg!Large.jpg
diego-rivera,/en/diego-rivera/portrait-of-sra-dona-elena-flores-de-carrillo-1953,Portrait of Sra. Dona Elena Flores de Carrillo,1953,Art Deco,portrait,portrait,https://uploads7.wikiart.org/images/diego-rivera/portrait-of-sra-dona-elena-flores-de-carrillo-1953.jpg!Large.jpg
diego-rivera,/en/diego-rivera/a-history-of-medicine-1953,The History of Medicine in Mexico: The People’s Demand for Better Health,1953,Muralism,allegorical painting,allegorical painting,https://uploads7.wikiart.org/00299/images/diego-rivera/2a2a7276-7e02-4ffe-b457-732e1687d4eb.jpg!Large.jpg
diego-rivera,/en/diego-rivera/el-cargador-de-hojas-de-platano-1953,The Banana Leaf Loader,1953,,Regionalism,portrait,https://uploads6.wikiart.org/00308/images/diego-rivera/img-9441.jpg!Large.jpg
diego-rivera,/en/diego-rivera/portrait-of-the-young-girl-elenita-carrillo-flores-1952,Portrait of the Young Girl Elenita Carrillo Flores,1952,Naïve Art (Primitivism),portrait,portrait,https://uploads3.wikiart.org/images/diego-rivera/portrait-of-the-young-girl-elenita-carrillo-flores-1952.jpg!Large.jpg
diego-rivera,/en/diego-rivera/colonisation-the-great-city-of-tenochtitlan-1952,"Colonisation, 'The Great City of Tenochtitlan'",1952,Muralism,history painting,history painting,https://uploads5.wikiart.org/images/diego-rivera/colonisation-the-great-city-of-tenochtitlan-1952.jpg!Large.jpg
diego-rivera,/en/diego-rivera/the-hands-of-nature-offering-water-1951,The Hands of Nature Offering Water,1951,Muralism,allegorical painting,allegorical painting,https://uploads5.wikiart.org/images/diego-rivera/the-hands-of-nature-offering-water-1951.jpg!Large.jpg
diego-rivera,/en/diego-rivera/figure-symbolizing-the-asiatic-race-1951,Figure Symbolizing the Asiatic Race,1951,Muralism,allegorical painting,allegorical painting,https://uploads6.wikiart.org/images/diego-rivera/figure-symbolizing-the-asiatic-race-1951.jpg!Large.jpg
diego-rivera,/en/diego-rivera/figure-symbolizing-the-african-race-1951,Figure Symbolizing the African Race,1951,Muralism,allegorical painting,allegorical painting,https://uploads6.wikiart.org/images/diego-rivera/figure-symbolizing-the-african-race-1951.jpg!Large.jpg
