felicien-rops,/en/felicien-rops/woman-on-a-rocking-horse,Woman on a Rocking Horse,1870,Symbolism,nude painting (nu),nude painting (nu),https://uploads0.wikiart.org/images/felicien-rops/woman-on-a-rocking-horse.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-row,The Row,1874,Symbolism,genre painting,genre painting,https://uploads1.wikiart.org/images/felicien-rops/the-row.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-temptation-of-st-anthony,The Temptation of St. Anthony,1878,Symbolism,religious painting,religious painting,https://uploads4.wikiart.org/images/felicien-rops/the-temptation-of-st-anthony.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-shower,The Shower,1881,Symbolism,nude painting (nu),nude painting (nu),https://uploads4.wikiart.org/images/felicien-rops/the-shower.jpg!Large.jpg
felicien-rops,/en/felicien-rops/cythera-s-toilette,Cythera's Toilette,,Symbolism,nude painting (nu),nude painting (nu),https://uploads3.wikiart.org/images/felicien-rops/cythera-s-toilette.jpg!Large.jpg
felicien-rops,/en/felicien-rops/lady-with-puppet-2,Lady with Puppet,,Symbolism,genre painting,genre painting,https://uploads3.wikiart.org/images/felicien-rops/lady-with-puppet-2.jpg!Large.jpg
felicien-rops,/en/felicien-rops/pornocrates,Pornocrates,1896,Symbolism,nude painting (nu),nude painting (nu),https://uploads5.wikiart.org/images/felicien-rops/pornocrates.jpg!Large.jpg
felicien-rops,/en/felicien-rops/death-at-the-ball,Death at the Ball,1895,Symbolism,allegorical painting,allegorical painting,https://uploads2.wikiart.org/images/felicien-rops/death-at-the-ball.jpg!Large.jpg
felicien-rops,/en/felicien-rops/a-gentleman-and-a-lady-aurelien-scholl-and-marie-colombier,A Gentleman and a Lady (Aurelien Scholl and Marie Colombier),1891,Symbolism,genre painting,genre painting,https://uploads7.wikiart.org/images/felicien-rops/a-gentleman-and-a-lady-aurelien-scholl-and-marie-colombier.jpg!Large.jpg
felicien-rops,/en/felicien-rops/lesbos-known-as-sappho,"Lesbos, Known as Sappho",1890,Symbolism,nude painting (nu),nude painting (nu),https://uploads6.wikiart.org/images/felicien-rops/lesbos-known-as-sappho.jpg
felicien-rops,/en/felicien-rops/the-lover-of-christ,The Lover of Christ,1888,Symbolism,genre painting,genre painting,https://uploads4.wikiart.org/images/felicien-rops/the-lover-of-christ.jpg!Large.jpg
felicien-rops,/en/felicien-rops/front-cover-of-jos-phin-p-ladan-s-novel-initiation-sentimentale,Front Cover of Joséphin Péladan's Novel 'Initiation Sentimentale',1887,Symbolism,illustration,illustration,https://uploads3.wikiart.org/images/felicien-rops/front-cover-of-jos-phin-p-ladan-s-novel-initiation-sentimentale.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-sentimental-initiation-1,The Sentimental Initiation,1887,Symbolism,allegorical painting,allegorical painting,https://uploads4.wikiart.org/images/felicien-rops/the-sentimental-initiation-1.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-hidden-side-of-a-whist-party-illustration-from-les-diaboliques-by-jules-amedee-barbey-d-1886,"'The Hidden Side of a Whist Party', illustration from 'Les Diaboliques' by Jules Amedee Barbey d'Aurevilly (1808-89) 1886 (engraving) (b/w photo)",1886,Symbolism,illustration,illustration,https://uploads0.wikiart.org/images/felicien-rops/the-hidden-side-of-a-whist-party-illustration-from-les-diaboliques-by-jules-amedee-barbey-d-1886.jpg!Large.jpg
felicien-rops,/en/felicien-rops/incantation,Incantation,1885,Symbolism,illustration,illustration,https://uploads5.wikiart.org/images/felicien-rops/incantation.jpg!Large.jpg
felicien-rops,/en/felicien-rops/lady-with-puppet,Lady with Puppet,1884,Symbolism,genre painting,genre painting,https://uploads1.wikiart.org/images/felicien-rops/lady-with-puppet.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-supreme-vice,The Supreme Vice,1883,Symbolism,allegorical painting,allegorical painting,https://uploads1.wikiart.org/images/felicien-rops/the-supreme-vice.jpg!Large.jpg
felicien-rops,/en/felicien-rops/illustration-of-les-diaboliques-3,Illustration of 'Les Diaboliques',1882,Symbolism,illustration,illustration,https://uploads0.wikiart.org/images/felicien-rops/illustration-of-les-diaboliques-3.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-satanic-satan-sowing-tares,The Satanic. Satan Sowing Tares,1882,Symbolism,religious painting,religious painting,https://uploads6.wikiart.org/images/felicien-rops/the-satanic-satan-sowing-tares.jpg!Large.jpg
felicien-rops,/en/felicien-rops/the-satanic-calvary,The Satanic. Calvary,1882,Symbolism,religious painting,religious painting,https://uploads4.wikiart.org/images/felicien-rops/the-satanic-calvary.jpg!Large.jpg
