frederic-leighton,/en/frederic-leighton/the-death-of-brunelleschi-1852,The Death of Brunelleschi,1852,,Academicism,history painting,https://uploads1.wikiart.org/images/frederic-leighton/the-death-of-brunelleschi-1852.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/the-fisherman-and-the-syren-1857,The Fisherman and the Siren,1857,,Academicism,mythological painting,https://uploads3.wikiart.org/images/frederic-leighton/the-fisherman-and-the-syren-1857.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/faticida,Faticida,1864,,Academicism,portrait,https://uploads6.wikiart.org/images/frederic-leighton/faticida.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/icarus-and-daedalus,Icarus and Daedalus,1869,,Academicism,mythological painting,https://uploads8.wikiart.org/images/frederic-leighton/icarus-and-daedalus.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/light-of-the-harem-1880,Light of the Harem,1880,Academicism,genre painting,genre painting,https://uploads3.wikiart.org/images/frederic-leighton/light-of-the-harem-1880.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/flaming-june-1895,Flaming June,1895,,Academicism,allegorical painting,https://uploads7.wikiart.org/00118/images/frederic-leighton/flaming-june-by-frederic-lord-leighton-1830-1896.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/greek-girls-picking-up-pebbles,Greek Girls Picking up Pebbles,,Academicism,genre painting,genre painting,https://uploads1.wikiart.org/images/frederic-leighton/greek-girls-picking-up-pebbles.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/lachrymae,Lachrymae,1895,,Academicism,mythological painting,https://uploads7.wikiart.org/images/frederic-leighton/lachrymae.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/clytie-1,Clytie,1895,,Academicism,mythological painting,https://uploads6.wikiart.org/images/frederic-leighton/clytie-1.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/bacchante-1895,Bacchante,1895,,Academicism,mythological painting,https://uploads3.wikiart.org/images/frederic-leighton/bacchante-1895.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/illustrations-from-volume-1-of-the-yellow-book-1894,"Illustrations from Volume 1 of ""The Yellow Book""",1894,,Academicism,sketch and study,https://uploads4.wikiart.org/images/frederic-leighton/illustrations-from-volume-1-of-the-yellow-book-1894.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/the-garden-of-the-hesperides,The Garden of the Hesperides,1892,,Academicism,mythological painting,https://uploads8.wikiart.org/images/frederic-leighton/the-garden-of-the-hesperides.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/perseus-and-andromeda-1891,Perseus and Andromeda,1891,,Academicism,mythological painting,https://uploads0.wikiart.org/00267/images/frederic-leighton/dezoomify-result-1.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/and-the-sea-gave-up-1891,And the sea gave up,1891,,Academicism,religious painting,https://uploads4.wikiart.org/images/frederic-leighton/and-the-sea-gave-up-1891.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/the-bath-of-psyche,The Bath of Psyche,1890,,Academicism,mythological painting,https://uploads7.wikiart.org/images/frederic-leighton/the-bath-of-psyche.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/solitude,Solitude,1890,,Academicism,portrait,https://uploads6.wikiart.org/images/frederic-leighton/solitude.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/an-athlete-wrestling-with-a-python-1888,An athlete wrestling with a python,1888,,Academicism,sculpture,https://uploads1.wikiart.org/images/frederic-leighton/an-athlete-wrestling-with-a-python-1888.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/gulnihal-1886,Gulnihal,1886,,Academicism,portrait,https://uploads2.wikiart.org/images/frederic-leighton/gulnihal-1886.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/captive-andromache,Captive Andromache,1886,,Academicism,mythological painting,https://uploads7.wikiart.org/images/frederic-leighton/captive-andromache.jpg!Large.jpg
frederic-leighton,/en/frederic-leighton/an-athlete-wrestling-with-a-python-1886,An athlete wrestling with a python,1886,,Academicism,sculpture,https://uploads1.wikiart.org/images/frederic-leighton/an-athlete-wrestling-with-a-python-1886.jpg!Large.jpg
