paul-gauguin,/en/paul-gauguin/the-vision-after-the-sermon-jacob-wrestling-with-the-angel-1888,The Vision after the Sermon (Jacob wrestling with the Angel),1888,,Synthetism,religious painting,https://uploads2.wikiart.org/images/paul-gauguin/the-vision-after-the-sermon-jacob-wrestling-with-the-angel-1888.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/van-gogh-painting-sunflowers-1888,Van Gogh Painting Sunflowers,1888,Cloisonnism,Breton period,portrait,https://uploads8.wikiart.org/images/paul-gauguin/van-gogh-painting-sunflowers-1888.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/self-portrait-with-halo-1889,Self Portrait with Halo and Snake,1889,,Cloisonnism,self-portrait,https://uploads3.wikiart.org/images/paul-gauguin/self-portrait-with-halo-1889.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/yellow-christ-1889,Yellow Christ,1889,,Cloisonnism,allegorical painting,https://uploads2.wikiart.org/images/paul-gauguin/yellow-christ-1889.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/woman-with-a-flower-1891,Woman with a Flower,1891,,Cloisonnism,portrait,https://uploads8.wikiart.org/images/paul-gauguin/woman-with-a-flower-1891.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/are-you-jealous-1892,Are You Jealous?,1892,,Cloisonnism,nude painting (nu),https://uploads4.wikiart.org/images/paul-gauguin/are-you-jealous-1892.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/the-seed-of-the-areoi-1892,The Seed of the Areoi,1892,,Post-Impressionism,nude painting (nu),https://uploads1.wikiart.org/images/paul-gauguin/the-seed-of-the-areoi-1892.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/spirit-of-the-dead-watching-1892-1,The Spirit of the Dead Watches,1892,,Post-Impressionism,nude painting (nu),https://uploads1.wikiart.org/images/paul-gauguin/the-spirit-of-the-dead-watches-1892.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/what-s-new-1892,What's New?,1892,,Post-Impressionism,genre painting,https://uploads8.wikiart.org/images/paul-gauguin/what-s-new-1892.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/self-portrait-in-a-hat,Self Portrait in a Hat,1893,,Post-Impressionism,self-portrait,https://uploads6.wikiart.org/images/paul-gauguin/self-portrait-in-a-hat.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/a-day-of-no-gods-1894,Day of the Gods,1894,Cloisonnism,Paris period,allegorical painting,https://uploads5.wikiart.org/images/paul-gauguin/a-day-of-no-gods-1894.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/the-king-s-wife-1896,The King's Wife,1896,,Cloisonnism,nude painting (nu),https://uploads4.wikiart.org/images/paul-gauguin/the-king-s-wife-1896.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/nevermore-1897,Nevermore,1897,,Post-Impressionism,nude painting (nu),https://uploads7.wikiart.org/images/paul-gauguin/nevermore-1897.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/where-do-we-come-from-what-are-we-where-are-we-going-1897,Where Do We Come From? What Are We? Where Are We Going?,1898,,Post-Impressionism,allegorical painting,https://uploads5.wikiart.org/images/paul-gauguin/where-do-we-come-from-what-are-we-where-are-we-going-1897.jpg!Large.jpg
paul-gauguin,/en/paul-gauguin/and-the-gold-of-their-bodies-1901,And the Gold of Their Bodies,1901,,Post-Impressionism,nude painting (nu),https://uploads8.wikiart.org/images/paul-gauguin/and-the-gold-of-their-bodies-1901.jpg!Large.jpg
