victor-vasarely,/en/victor-vasarely/the-chess-board-1935,The Chess Board,1935,Op Art,still life,still life,https://uploads7.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg!Large.jpg
victor-vasarely,/en/victor-vasarely/harlequin-1936,Harlequin,1936,Op Art,abstract,abstract,https://uploads1.wikiart.org/images/victor-vasarely/harlequin-1936.jpg!Large.jpg
victor-vasarely,/en/victor-vasarely/zebra-1937,Zebra,1937,Op Art,animal painting,animal painting,https://uploads5.wikiart.org/images/victor-vasarely/zebra-1937.jpg
victor-vasarely,/en/victor-vasarely/tigres-1938,Tigres,1938,Op Art,animal painting,animal painting,https://uploads6.wikiart.org/images/victor-vasarely/tigres-1938.jpg
victor-vasarely,/en/victor-vasarely/folklore-1963,Folklore,1963,Op Art,abstract,abstract,https://uploads8.wikiart.org/images/victor-vasarely/folklore-1963.jpg
victor-vasarely,/en/victor-vasarely/vega-nor-1969,Vega-Nor,1969,Op Art,abstract,abstract,https://uploads8.wikiart.org/images/victor-vasarely/vega-nor-1969.jpg
victor-vasarely,/en/victor-vasarely/dva-dva-1986,DVA-DVA,1986,Op Art,abstract,abstract,https://uploads7.wikiart.org/images/victor-vasarely/dva-dva-1986.jpg
victor-vasarely,/en/victor-vasarely/tekers-mc-1981,Tekers-MC,1981,Op Art,abstract,abstract,https://uploads1.wikiart.org/images/victor-vasarely/tekers-mc-1981.jpg!Large.jpg
victor-vasarely,/en/victor-vasarely/vonal-stri-1975,Vonal Stri,1975,Op Art,abstract,abstract,https://uploads1.wikiart.org/images/victor-vasarely/vonal-stri-1975.jpg
victor-vasarely,/en/victor-vasarely/pal-ket-1974,Pal-Ket,1974,Op Art,abstract,abstract,https://uploads7.wikiart.org/00219/images/victor-vasarely/victor-vasarely-pal-ket.Jpg!Large.Jpg
victor-vasarely,/en/victor-vasarely/sonora-do-1973,Sonora Do,1973,Op Art,abstract,abstract,https://uploads0.wikiart.org/images/victor-vasarely/sonora-do-1973.jpg
victor-vasarely,/en/victor-vasarely/orion-k-1972,Orion-K,1972,Op Art,abstract,abstract,https://uploads7.wikiart.org/images/victor-vasarely/orion-k-1972.jpg
victor-vasarely,/en/victor-vasarely/cheyt-pyr-1971,Cheyt Pyr,1971,Op Art,abstract,abstract,https://uploads0.wikiart.org/images/victor-vasarely/cheyt-pyr-1971.jpg
victor-vasarely,/en/victor-vasarely/composition-carr-e-relief-1970,Composition Carrée Relief,1970,Op Art,abstract,abstract,https://uploads8.wikiart.org/images/victor-vasarely/composition-carr-e-relief-1970.jpg!Large.jpg
victor-vasarely,/en/victor-vasarely/vega-lep-1970,Vega-Lep,1970,Op Art,abstract,abstract,https://uploads8.wikiart.org/images/victor-vasarely/vega-lep-1970.jpg
victor-vasarely,/en/victor-vasarely/orion-gris-1969,Orion Gris,1969,Abstract Art,abstract,abstract,https://uploads1.wikiart.org/images/victor-vasarely/orion-gris-1969.jpg
victor-vasarely,/en/victor-vasarely/torony-nagy-1969,Torony-Nagy,1969,Op Art,abstract,abstract,https://uploads2.wikiart.org/images/victor-vasarely/torony-nagy-1969.jpg
victor-vasarely,/en/victor-vasarely/vega-200-1968,Vega 200,1968,Op Art,abstract,abstract,https://uploads8.wikiart.org/images/victor-vasarely/vega-200-1968.jpg
victor-vasarely,/en/victor-vasarely/keple-gestalt-1968,Keple Gestalt,1968,Op Art,abstract,abstract,https://uploads4.wikiart.org/images/victor-vasarely/keple-gestalt-1968.jpg
victor-vasarely,/en/victor-vasarely/zoeld-v-1967,Zoeld V,1967,Op Art,abstract,abstract,https://uploads7.wikiart.org/images/victor-vasarely/zoeld-v-1967.jpg
